DataSet,UserModel(lambda),Distance,OperationCount
WattsStrongatz,10,4,41
WattsStrongatz,10,4,263
WattsStrongatz,10,4,154
WattsStrongatz,10,4,279
WattsStrongatz,10,4,84
WattsStrongatz,10,4,205
WattsStrongatz,10,5,657
WattsStrongatz,10,5,1879
WattsStrongatz,10,4,434
WattsStrongatz,10,4,1659
WattsStrongatz,10,4,289
WattsStrongatz,10,4,501
WattsStrongatz,10,4,15
WattsStrongatz,10,3,172
WattsStrongatz,10,4,149
WattsStrongatz,10,5,592
WattsStrongatz,10,5,904
WattsStrongatz,10,4,93
WattsStrongatz,10,3,1088
WattsStrongatz,10,4,763
WattsStrongatz,10,4,356
WattsStrongatz,10,4,685
WattsStrongatz,10,4,1035
WattsStrongatz,10,4,612
WattsStrongatz,10,4,423
WattsStrongatz,10,4,427
WattsStrongatz,10,4,1049
WattsStrongatz,10,4,353
WattsStrongatz,10,3,1104
WattsStrongatz,10,4,502
WattsStrongatz,10,2,1300
WattsStrongatz,10,4,658
WattsStrongatz,10,5,354
WattsStrongatz,10,4,142
WattsStrongatz,10,4,956
WattsStrongatz,10,4,943
WattsStrongatz,10,4,238
WattsStrongatz,10,4,297
WattsStrongatz,10,5,3088
WattsStrongatz,10,4,773
WattsStrongatz,10,2,456
WattsStrongatz,10,4,1120
WattsStrongatz,10,4,2762
WattsStrongatz,10,4,286
WattsStrongatz,10,4,269
WattsStrongatz,10,4,434
WattsStrongatz,10,3,673
WattsStrongatz,10,4,400
WattsStrongatz,10,4,2283
WattsStrongatz,10,5,452
WattsStrongatz,10,5,618
WattsStrongatz,10,5,270
WattsStrongatz,10,2,2
WattsStrongatz,10,5,2924
WattsStrongatz,10,3,507
WattsStrongatz,10,4,405
WattsStrongatz,10,4,1099
WattsStrongatz,10,3,64
WattsStrongatz,10,5,137
WattsStrongatz,10,4,752
WattsStrongatz,10,4,335
WattsStrongatz,10,4,247
WattsStrongatz,10,4,3404
WattsStrongatz,10,4,318
WattsStrongatz,10,3,325
WattsStrongatz,10,4,205
WattsStrongatz,10,2,309
WattsStrongatz,10,4,199
WattsStrongatz,10,5,118
WattsStrongatz,10,4,351
WattsStrongatz,10,4,467
WattsStrongatz,10,4,438
WattsStrongatz,10,4,284
WattsStrongatz,10,3,149
WattsStrongatz,10,4,1207
WattsStrongatz,10,4,421
WattsStrongatz,10,3,1415
WattsStrongatz,10,3,235
WattsStrongatz,10,4,2688
WattsStrongatz,10,5,314
WattsStrongatz,10,5,1056
WattsStrongatz,10,4,94
WattsStrongatz,10,4,462
WattsStrongatz,10,4,700
WattsStrongatz,10,3,279
WattsStrongatz,10,3,129
WattsStrongatz,10,4,1412
WattsStrongatz,10,4,302
WattsStrongatz,10,4,225
WattsStrongatz,10,4,195
WattsStrongatz,10,4,245
WattsStrongatz,10,3,251
WattsStrongatz,10,3,251
WattsStrongatz,10,5,197
WattsStrongatz,10,5,383
WattsStrongatz,10,4,175
WattsStrongatz,10,4,734
WattsStrongatz,10,5,358
WattsStrongatz,10,4,559
WattsStrongatz,10,4,519
